,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
0,vaini,15.34,74.49,68.22,1537380912,IN,3.15,98,76
1,yerbogachen,61.28,108.01,38.97,1537380912,RU,2.48,100,44
2,rikitea,-23.12,-134.97,69.39,1537380913,PF,17.69,100,92
3,busselton,-33.64,115.35,51.3,1537380913,AU,4.38,100,0
4,hermanus,-34.42,19.24,41.31,1537380913,ZA,1.92,98,24
5,najran,17.54,44.22,84.42,1537380913,SA,8.08,15,76
6,ribeira grande,38.52,-28.7,77.0,1537380000,PT,12.75,73,40
7,taltal,-25.41,-70.49,67.77,1537380914,CL,3.15,72,0
8,punta arenas,-53.16,-70.91,42.8,1537376400,CL,9.17,56,40
9,mataura,-46.19,168.86,44.19,1537380915,NZ,10.98,60,32
10,shamgarh,24.18,75.63,70.11,1537380915,IN,2.48,81,8
11,kadnikov,59.5,40.34,52.92,1537380915,RU,5.17,96,92
12,avarua,-21.21,-159.78,69.8,1537376400,CK,13.87,77,40
13,geraldton,49.72,-86.95,59.0,1537376400,CA,8.05,54,75
14,port elizabeth,39.31,-74.98,82.04,1537379700,US,8.05,64,1
15,vesyegonsk,58.67,37.27,53.82,1537380917,RU,7.4,87,12
16,honiara,-9.43,159.96,73.4,1537380000,SB,2.24,100,40
17,new norfolk,-42.78,147.06,41.0,1537380000,AU,8.05,65,8
18,neuquen,-38.95,-68.06,59.0,1537376400,AR,11.41,41,0
19,nyurba,63.29,118.35,33.21,1537380918,RU,5.06,73,0
20,georgetown,6.8,-58.16,87.8,1537376400,GY,6.93,70,75
21,provideniya,64.42,-173.23,45.9,1537380919,RU,9.98,100,92
22,barao de melgaco,-16.19,-55.97,95.0,1537380000,BR,6.93,34,20
23,ushuaia,-54.81,-68.31,42.8,1537376400,AR,12.75,56,40
24,mar del plata,-46.43,-67.52,47.79,1537380847,AR,5.06,71,80
25,havre-saint-pierre,50.23,-63.6,48.2,1537376400,CA,6.93,57,90
26,lazaro cardenas,28.39,-105.62,73.4,1537375200,MX,9.17,56,75
27,aleksandrovskoye,56.74,85.39,35.19,1537380920,RU,4.61,80,0
28,vila franca do campo,37.72,-25.43,75.2,1537380000,PT,5.82,73,20
29,aykhal,65.95,111.51,37.44,1537380921,RU,6.4,77,76
30,cape town,-33.93,18.42,51.8,1537376400,ZA,8.05,57,20
31,sal rei,16.18,-22.92,84.2,1537380000,CV,12.75,62,20
32,alofi,-19.06,-169.92,71.6,1537376400,NU,3.36,88,92
33,kaitangata,-46.28,169.85,32.94,1537380922,NZ,3.94,66,12
34,yelets,52.61,38.49,61.65,1537380922,RU,8.97,70,0
35,albany,42.65,-73.75,73.94,1537379640,US,10.29,57,75
36,jamestown,-33.21,138.6,44.1,1537380878,AU,7.96,95,88
37,samarinda,-0.5,117.14,72.72,1537380923,ID,3.38,100,80
38,castro,-42.48,-73.76,50.22,1537380884,CL,7.96,77,92
39,kapaa,22.08,-159.32,71.96,1537376160,US,8.05,100,20
40,pozo colorado,-23.49,-58.8,86.67,1537380924,PY,8.63,63,76
41,farah,32.37,62.11,70.74,1537380925,AF,6.06,22,0
42,saint-philippe,45.36,-73.48,60.8,1537379700,CA,8.05,76,90
43,yellowknife,62.45,-114.38,30.2,1537376400,CA,13.87,54,75
44,talnakh,69.49,88.39,41.04,1537380926,RU,5.73,92,92
45,puerto ayora,-0.74,-90.35,75.2,1537376400,EC,16.11,64,40
46,kaura namoda,12.59,6.58,79.38,1537380926,NG,4.94,74,12
47,arraial do cabo,-22.97,-42.02,89.6,1537376400,BR,5.82,55,20
48,hobart,-42.88,147.33,41.0,1537380000,AU,8.05,65,0
49,namatanai,-3.66,152.44,78.84,1537380927,PG,4.61,100,68
50,half moon bay,37.46,-122.43,71.06,1537379760,US,6.93,76,1
51,victoria,5.28,115.24,78.8,1537378200,BN,1.12,94,75
52,qaanaaq,77.48,-69.36,20.07,1537380928,GL,7.96,100,0
53,emerald,-23.53,148.16,64.89,1537380929,AU,7.18,58,36
54,saint-augustin,44.83,-0.61,75.2,1537380000,FR,8.05,60,0
